time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
1995-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.594,0,2,A
1995-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.1692,0,2,A
1995-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.6298,0,2,A
1995-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.8917,0,2,A
1995-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.9046,0,2,A
1995-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.6826,0,2,A
1995-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.2495,0,2,A
1995-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.758,0,2,A
1995-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.2929,0,2,A
1995-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8953,0,2,A
1996-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.6347,0,2,A
1996-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.5598,0,2,A
1996-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.5435,0,2,A
1996-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.4261,0,2,A
1996-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1887,0,2,A
1996-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.9019,0,2,A
1996-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6656,0,2,A
1996-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5571,0,2,A
1996-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6229,0,2,A
1996-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.8669,0,2,A
1996-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2515,0,2,A
1996-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7584,0,2,A
1997-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.3386,0,2,A
1997-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.8568,0,2,A
1997-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.2311,0,2,A
1997-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.4639,0,2,A
1997-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.5946,0,2,A
1997-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.6807,0,2,A
1997-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.708,0,2,A
1997-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.6086,0,2,A
1997-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.3784,0,2,A
1997-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.0142,0,2,A
1997-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.5598,0,2,A
1997-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.1288,0,2,A
1998-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7959,0,2,A
1998-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.5842,0,2,A
1998-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3703,0,2,A
1998-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.999,0,2,A
1998-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.374,0,2,A
1998-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.40286,0,2,A
1998-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.1191,0,2,A
1998-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.65321,0,2,A
1998-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.17006,0,2,A
1998-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.9333,0,2,A
1998-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.23163,0,2,A
1998-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.2597,0,2,A
1999-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.91898,0,2,A
1999-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,94.92284,0,2,A
1999-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.96632,0,2,A
1999-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.85678,0,2,A
